|    z | completeness |      logmstar |
| 0.80 |     1.00e+00 | 12.0552725051 |
| 1.00 |     1.00e+00 | 12.0552725051 |
| 1.20 |     1.00e+00 | 12.0552725051 |
| 1.40 |     1.00e+00 | 12.0552725051 |
| 1.60 |     1.00e+00 | 12.0552725051 |
| 1.80 |     1.00e+00 | 12.0552725051 |
| 2.00 |     1.00e+00 | 12.0552725051 |
| 0.10 |     1.00e+00 | 12.1552725051 |
| 0.15 |     1.00e+00 | 12.1552725051 |
| 0.20 |     1.00e+00 | 12.1552725051 |
| 0.30 |     1.00e+00 | 12.1552725051 |
| 0.40 |     1.00e+00 | 12.1552725051 |
| 0.50 |     1.00e+00 | 12.1552725051 |
| 0.60 |     1.00e+00 | 12.1552725051 |
| 0.80 |     1.00e+00 | 12.1552725051 |
| 1.00 |     1.00e+00 | 12.1552725051 |
| 1.20 |     1.00e+00 | 12.1552725051 |
| 1.40 |     1.00e+00 | 12.1552725051 |
| 1.60 |     1.00e+00 | 12.1552725051 |
| 1.80 |     1.00e+00 | 12.1552725051 |
| 2.00 |     1.00e+00 | 12.1552725051 |
| 0.10 |     1.00e+00 | 12.2552725051 |
| 0.15 |     1.00e+00 | 12.2552725051 |
| 0.20 |     1.00e+00 | 12.2552725051 |
| 0.30 |     1.00e+00 | 12.2552725051 |
| 0.40 |     1.00e+00 | 12.2552725051 |
| 0.50 |     1.00e+00 | 12.2552725051 |
| 0.60 |     1.00e+00 | 12.2552725051 |
| 0.80 |     1.00e+00 | 12.2552725051 |
| 1.00 |     1.00e+00 | 12.2552725051 |
| 1.20 |     1.00e+00 | 12.2552725051 |
| 1.40 |     1.00e+00 | 12.2552725051 |
| 1.60 |     1.00e+00 | 12.2552725051 |
| 1.80 |     1.00e+00 | 12.2552725051 |
| 2.00 |     1.00e+00 | 12.2552725051 |
| 0.10 |     1.00e+00 | 12.3552725051 |
| 0.15 |     1.00e+00 | 12.3552725051 |
| 0.20 |     1.00e+00 | 12.3552725051 |
| 0.30 |     1.00e+00 | 12.3552725051 |
| 0.40 |     1.00e+00 | 12.3552725051 |
| 0.50 |     1.00e+00 | 12.3552725051 |
| 0.60 |     1.00e+00 | 12.3552725051 |
| 0.80 |     1.00e+00 | 12.3552725051 |
| 1.00 |     1.00e+00 | 12.3552725051 |
| 1.20 |     1.00e+00 | 12.3552725051 |
| 1.40 |     1.00e+00 | 12.3552725051 |
| 1.60 |     1.00e+00 | 12.3552725051 |
| 1.80 |     1.00e+00 | 12.3552725051 |
| 2.00 |     1.00e+00 | 12.3552725051 |
