# AngSepBCG_min[m] 	AngSepBCG_min[n] 	Radius[i](kpc/h100) 	Radius[j](kpc/h100) 	covariance(h100*M_sun/pc^2)^2 	correlation 	bias(1+K[m,i])(1+K[n,j])
0.05 	0.05 	1145.45095242 	53.167123502 	0.023510845422 	0.000494278670532 	0.855685854408
0.05 	0.05 	1145.45095242 	78.0386649378 	0.070080224761 	0.00212400098831 	0.856236917282
0.05 	0.05 	1145.45095242 	114.545095242 	0.0321198450738 	0.00140557441457 	0.856747724071
0.05 	0.05 	1145.45095242 	168.129206906 	0.018840893417 	0.00115402886925 	0.856241301047
0.05 	0.05 	1145.45095242 	246.779926762 	0.046658631792 	0.00369208530833 	0.856232467238
0.05 	0.05 	1145.45095242 	362.223395765 	0.0403037766778 	0.00406608558975 	0.856339118859
0.05 	0.05 	1145.45095242 	531.67123502 	0.0252996088224 	0.00330993606259 	0.856291876521
0.05 	0.05 	1145.45095242 	780.386649378 	0.891269537422 	0.152892233795 	0.856167185925
0.05 	0.05 	1145.45095242 	1145.45095242 	4.37324117547 	1.0 	0.855911518357
0.05 	0.05 	1145.45095242 	1681.29206906 	0.39061904271 	0.123840602181 	0.855746485421
0.05 	0.05 	1681.29206906 	24.6779926762 	0.00875489162536 	0.000119895007272 	0.856343222872
0.05 	0.05 	1681.29206906 	36.2223395765 	-0.0443344637572 	-0.000887428115425 	0.856248100126
0.05 	0.05 	1681.29206906 	53.167123502 	0.00356472321998 	0.000103906450909 	0.855520864983
0.05 	0.05 	1681.29206906 	78.0386649378 	-0.0303513208364 	-0.0012754102304 	0.856071821604
0.05 	0.05 	1681.29206906 	114.545095242 	0.00453047498849 	0.000274876245799 	0.856582529902
0.05 	0.05 	1681.29206906 	168.129206906 	0.011626646301 	0.000987376333956 	0.856076204524
0.05 	0.05 	1681.29206906 	246.779926762 	-0.0179387632211 	-0.00196809155334 	0.856067372418
0.05 	0.05 	1681.29206906 	362.223395765 	-0.0314134764646 	-0.00439399791165 	0.856174003475
0.05 	0.05 	1681.29206906 	531.67123502 	-0.00490266564099 	-0.000889305844042 	0.856126770246
0.05 	0.05 	1681.29206906 	780.386649378 	0.0396625348565 	0.0094334358786 	0.856002103692
0.05 	0.05 	1681.29206906 	1145.45095242 	0.39061904271 	0.123840602181 	0.855746485421
0.05 	0.05 	1681.29206906 	1681.29206906 	2.27497843373 	1.0 	0.855581484306
0.05 	0.2 	24.6779926762 	24.6779926762 	-0.676606293313 	-0.000256810857446 	0.858584046781
0.05 	0.2 	24.6779926762 	36.2223395765 	-1.73091959479 	-0.000982887174343 	0.853157911359
0.05 	0.2 	24.6779926762 	53.167123502 	-0.0362670196093 	-3.03473984862e-05 	0.856698180668
0.05 	0.2 	24.6779926762 	78.0386649378 	2.70603768949 	0.00328496369524 	0.856494150009
0.05 	0.2 	24.6779926762 	114.545095242 	0.250083757115 	0.000432670075471 	0.855769421198
